SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-5-2019,Single Family Residential,31 Romain St,San Francisco,CA,94114,2290000,3,3.0,Eureka Valley/Dolore,2155,2500,1906,20,1063,,Sold,,,http://www.redfin.com/CA/San-Francisco/31-Romain-St-94114/home/1316364,San Francisco MLS,480612,N,Y,37.7563136,-122.4395799
PAST SALE,February-4-2019,Single Family Residential,3220 Jennings St,San Francisco,CA,94124,849000,5,3.0,Bayview Heights,1464,2247,1915,80,580,,Sold,,,http://www.redfin.com/CA/San-Francisco/3220-Jennings-St-94124/home/1856008,San Francisco MLS,479331,N,Y,37.7199943,-122.3953455
PAST SALE,January-31-2019,Single Family Residential,545 Wilde,San Francisco,CA,94134,1130000,5,3.0,Visitacion Valley,2707,3750,1945,84,417,,Sold,,,http://www.redfin.com/CA/San-Francisco/545-Wilde-Ave-94134/home/1606551,San Francisco MLS,478893,N,Y,37.717913737311335,-122.40817065378782
PAST SALE,February-15-2019,Single Family Residential,1951 Webster St,San Francisco,CA,94115,3300000,3,3.5,Lower Pacific Height,,,,69,,,Sold,,,http://www.redfin.com/CA/San-Francisco/1951-Webster-St-94115/home/571675,San Francisco MLS,478882,N,Y,37.7888203,-122.4322807
PAST SALE,April-22-2019,Single Family Residential,930 Noe St,San Francisco,CA,94114,3600000,4,3.5,Noe Valley,2750,2500,1905,3,1309,,Sold,,,http://www.redfin.com/CA/San-Francisco/930-Noe-St-94114/home/715659,San Francisco MLS,482845,N,Y,37.7541524,-122.4323249
PAST SALE,March-7-2019,Single Family Residential,233 Dellbrook,San Francisco,CA,94131,1670000,4,2.0,Midtown Terrace,1818,3380,1956,49,919,18,Sold,,,http://www.redfin.com/CA/San-Francisco/233-Dellbrook-Ave-94131/home/680651,San Francisco MLS,479854,N,Y,37.749897,-122.4532922
PAST SALE,March-15-2019,Single Family Residential,1230 5th Ave,SAN FRANCISCO,CA,94122,2325000,4,2.0,SAN FRANCISCO,1932,3000,1908,41,1203,,Sold,,,http://www.redfin.com/CA/San-Francisco/1230-5th-Ave-94122/home/626847,MLSListings,ML81740897,N,Y,37.7656473,-122.46195
PAST SALE,March-1-2019,Single Family Residential,1 Marcela Ave,San Francisco,CA,94116,1900000,4,3.5,Forest Hill,3753,4726,1917,55,506,41,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Marcela-Ave-94116/home/1211935,San Francisco MLS,481229,N,Y,37.7488505,-122.4607116
PAST SALE,March-29-2019,Single Family Residential,1362 7th Ave,San Francisco,CA,94122,3850000,5,6.5,Inner Sunset,3854,2996,,27,999,,Sold,,,http://www.redfin.com/CA/San-Francisco/1362-7th-Ave-94122/home/628764,San Francisco MLS,481425,N,Y,37.7629824,-122.4638959
PAST SALE,April-1-2019,Single Family Residential,289 San Marcos Ave,San Francisco,CA,94116,2450000,5,4.0,Forest Hill,4042,5248,1978,24,606,46,Sold,,,http://www.redfin.com/CA/San-Francisco/289-San-Marcos-Ave-94116/home/1938803,San Francisco MLS,481805,N,Y,37.7462846,-122.4669585
